postcode6,cbs_code
1018LL,BU0363AK04
1018LL,BU0363AK04
1018PP,BU0363AK04
1018VN,BU0363AJ01
1018XE,BU0363AJ03
1019AS,BU0363MA07
1019AS,BU0363MA07
1019AS,BU0363MA07
1019AS,BU0363MA07
1019AS,BU0363MA07
1019AS,BU0363MA07
1019AS,BU0363MA07
1019AS,BU0363MA07
1019AS,BU0363MA07
1019AS,BU0363MA07
1019AS,BU0363MA07
1019AS,BU0363MA07
1019AS,BU0363MA07
1019AS,BU0363MA07
1019AS,BU0363MA07
1019AS,BU0363MA07
1019AS,BU0363MA07
1019AS,BU0363MA07
1019AS,BU0363MA07
1019AS,BU0363MA07
1019AS,BU0363MA07
1019AS,BU0363MA07
1019AS,BU0363MA07
1019AS,BU0363MA07
1019AS,BU0363MA07
1019AS,BU0363MA07
1019AS,BU0363MA07
1019AS,BU0363MA07
1019AS,BU0363MA07
1019AS,BU0363MA07
1019AS,BU0363MA07
1019AS,BU0363MA07
1019AS,BU0363MA07
1019AS,BU0363MA07
1019AS,BU0363MA07
1019AS,BU0363MA07
1019AS,BU0363MA07
1019AS,BU0363MA07
1019AS,BU0363MA07
1019AS,BU0363MA07
1019AS,BU0363MA07
1019AS,BU0363MA07
1019AS,BU0363MA07
1019AS,BU0363MA07
1019AS,BU0363MA07
1019AS,BU0363MA07
1019AS,BU0363MA07
1019AS,BU0363MA07
1019AS,BU0363MA07
1019AS,BU0363MA07
1019AS,BU0363MA07
1019AS,BU0363MA07
1019AS,BU0363MA07
1019AS,BU0363MA07
1019AS,BU0363MA07
1019AS,BU0363MA07
1019AS,BU0363MA07
1019AS,BU0363MA07
1019AS,BU0363MA07
1019AS,BU0363MA07
1019AS,BU0363MA07
1019AS,BU0363MA07
1019AS,BU0363MA07
1019AS,BU0363MA07
1019AS,BU0363MA07
1019AS,BU0363MA07
1019AS,BU0363MA07
1019AS,BU0363MA07
1019AS,BU0363MA07
1019AS,BU0363MA07
1019AS,BU0363MA07
1019AS,BU0363MA07
1019AS,BU0363MA07
1019AS,BU0363MA07
1019AS,BU0363MA07
1019AS,BU0363MA07
1019AS,BU0363MA07
